date,disaster_type,event_name,event_confidence,location,location_confidence,severity_level,start_time,start_time_confidence,peak_time,peak_time_confidence,end_time,end_time_confidence,title,source,category,wind_speed,rainfall,casualties,damages,extraction_quality,qa_flags,url,scrape_time
2023-10-01,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,10-2023,0.5800000000000001,,,,,"Tháng 10-2023, khả năng xuất hiện 1-2 cơn bão, áp thấp nhiệt đới trên Biển Đông",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,0.0,LOW_QUALITY;MISSING_LOCATION;,https://www.sggp.org.vn/thang-10-2023-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-tren-bien-dong-post707910.html,2025-12-06T13:30:27.914832
2016-11-06,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Nhẹ,2-2017,0.6000000000000001,,,,,"Bão, áp thấp nhiệt đới năm nay kéo dài tới tháng 1 và 2-2017",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,cấp 6,730 mm,,124.0 tỷ đồng,0.75,MISSING_LOCATION;,https://www.sggp.org.vn/bao-ap-thap-nhiet-doi-nam-nay-keo-dai-toi-thang-1-va-2-2017-post164091.html,2025-12-06T13:30:28.563045
2016-08-10,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,5-2016,0.5800000000000001,,,,,"Chủ động ứng phó với bão, áp thấp nhiệt đới",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,0.0,LOW_QUALITY;MISSING_LOCATION;,https://www.sggp.org.vn/chu-dong-ung-pho-voi-bao-ap-thap-nhiet-doi-post167452.html,2025-12-06T13:30:29.184958
2025-11-11,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,,,,,,,"Bản tin 17 GIỜ 11-11: Từ nay đến giữa tháng 12 khả năng xuất hiện 1-2 cơn bão, áp thấp nhiệt đới",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,0.0,LOW_QUALITY;MISSING_LOCATION;,https://www.sggp.org.vn/ban-tin-17-gio-11-11-tu-nay-den-giua-thang-12-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-post822944.html,2025-12-06T13:30:30.139768
2020-11-06,"Bão, áp thấp nhiệt đới",Bão Atsani,0.95,,0.0,Nhẹ,,,,,,,"Gần Biển Đông lại có bão, áp thấp nhiệt đới gây mưa lớn ở miền Trung",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,cấp 6,,,,0.6,MISSING_LOCATION;,https://www.sggp.org.vn/gan-bien-dong-lai-co-bao-ap-thap-nhiet-doi-gay-mua-lon-o-mien-trung-post574217.html,2025-12-06T13:30:33.912273
2025-12-06,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,2025,0.53,,,,,Thủ tướng Phạm Minh Chính chủ trì phiên họp Chính phủ thường kỳ tháng 11,VietnamNet,Thiên tai khí tượng – thủy văn,,,,,0.0,LOW_QUALITY;MISSING_LOCATION;,https://vietnamnet.vn/thu-tuong-pham-minh-chinh-chu-tri-phien-hop-chinh-phu-thuong-ky-thang-11-2469987.html,2025-12-06T13:30:38.345903
2025-07-23,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,,,,,,,Áp thấp nhiệt đới vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,,,,,0.0,LOW_QUALITY;MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-4918014.html,2025-12-06T13:30:32.170470
2025-10-06,"Bão, áp thấp nhiệt đới",Bão Bualoi,0.95,,0.0,Nhẹ,,,,,,,"Áp thấp nhiệt đới có thể gây mưa lớn ở trung du, miền núi phía Bắc",VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,50 mm,,,0.725,MISSING_LOCATION;,https://vnexpress.net/bao-matmo-suy-yeu-thanh-ap-thap-nhiet-doi-4947635.html,2025-12-06T13:30:34.047381
2025-12-04,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Không xác định,6-7/12,0.68,,,,,Biển Đông có thể sắp xuất hiện bão số 16,VnExpress,Thiên tai khí tượng – thủy văn,,,409 người chết,,0.6,MISSING_LOCATION;,https://vnexpress.net/bien-dong-co-the-sap-xuat-hien-bao-so-16-4989636.html,2025-12-06T13:30:34.722438
2025-07-05,"Bão, áp thấp nhiệt đới",Bão Danas,0.95,,0.0,Nhẹ,2025,0.5800000000000001,,,,,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 7,,11 người chết,,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4910398.html,2025-12-06T13:30:35.979646
2025-11-28,"Bão, áp thấp nhiệt đới",Bão Senyar,0.75,,0.0,Nhẹ,2017,0.55,,,,,Thêm một áp thấp nhiệt đới gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,409 người chết,,0.625,MISSING_LOCATION;,https://vnexpress.net/them-mot-ap-thap-nhiet-doi-hoat-dong-gan-bien-dong-4987402.html,2025-12-06T13:30:37.419882
2025-10-16,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Không xác định,2013,0.5800000000000001,,,,,"Biển Đông còn khoảng ba cơn bão, áp thấp nhiệt đới",VnExpress,Thiên tai khí tượng – thủy văn,,,"241 người chết, 389 người bị thương",,0.6,MISSING_LOCATION;,https://vnexpress.net/bien-dong-con-khoang-ba-con-bao-ap-thap-nhiet-doi-4952323.html,2025-12-06T13:30:39.382670
2025-11-24,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Trung bình,2025,0.5800000000000001,,,,,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 9,,,,0.6,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4985331.html,2025-12-06T13:30:41.062889
2025-08-17,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Nhẹ,,,,,,,Áp thấp nhiệt đới hướng vịnh Bắc Bộ,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,5 người bị thương,,0.5,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-huong-vinh-bac-bo-4927833.html,2025-12-06T13:30:42.439967
2025-06-14,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,,,,,,,Bão Wutip suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,,,11 người chết,,0.25,LOW_QUALITY;MISSING_LOCATION;,https://vnexpress.net/bao-wutip-suy-yeu-thanh-ap-thap-nhiet-doi-4898896.html,2025-12-06T13:30:44.732701
2025-10-22,"Bão, áp thấp nhiệt đới",Bão Fengshen,0.95,,0.0,Nhẹ,,,,,,,"Bão Fengshen suy yếu, áp thấp nhiệt đới mới hình thành gần Biển Đông",VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,200 mm,,,0.725,MISSING_LOCATION;,https://vnexpress.net/bao-fengshen-suy-yeu-ap-thap-nhiet-doi-moi-hinh-thanh-gan-bien-dong-4954623.html,2025-12-06T13:30:46.196407
2025-11-29,"Bão, áp thấp nhiệt đới",Bão Koto,0.75,,0.0,Trung bình,2017,0.5800000000000001,,,,,"Áp thấp nhiệt đới suy yếu, bão Koto giữ cấp 9",VnExpress,Thiên tai khí tượng – thủy văn,cấp 8,,"409 người chết, 727 người bị thương",,0.625,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-suy-yeu-bao-koto-giu-cap-9-4987764.html,2025-12-06T13:30:46.826335
2025-09-18,"Bão, áp thấp nhiệt đới",Bão Tapah,0.95,,0.0,Không xác định,2025,0.5800000000000001,,,,,"Áp thấp nhiệt đới vào Biển Đông, sắp mạnh lên thành bão",VnExpress,Thiên tai khí tượng – thủy văn,,,,,0.475,LOW_QUALITY;MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-sap-manh-len-thanh-bao-4940474.html,2025-12-06T13:30:48.328402
2025-09-16,"Bão, áp thấp nhiệt đới","Bão, áp thấp nhiệt đới 10/12/2025",0.7,,0.0,Không xác định,10-12/2025,0.68,,,,,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,,,,,0.35,LOW_QUALITY;MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4939826.html,2025-12-06T13:30:49.708548
2025-11-25,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Nghiêm trọng,2025,0.5800000000000001,,,,,Hôm nay áp thấp nhiệt đới khả năng mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 10,,"91 người chết, 11 người mất tích",,0.725,MISSING_LOCATION;,https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-kha-nang-manh-len-thanh-bao-4985759.html,2025-12-06T13:30:51.174694
2025-08-27,"Bão, áp thấp nhiệt đới",Bão Kajiki,0.95,,0.0,Nhẹ,,,,,,,Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,"47 người bị thương, 5 người mất tích",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4932051.html,2025-12-06T13:30:52.413482
2025-06-10,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Nghiêm trọng,8/2025,0.6300000000000001,,,,,Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 10,,,,0.25,LOW_QUALITY;MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4896717.html,2025-12-06T13:30:53.865399
2015-02-03,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,2014,0.5800000000000001,,,,,"Năm cơn bão, áp thấp nhiệt đới sẽ ảnh hưởng Việt Nam",VnExpress,Thiên tai khí tượng – thủy văn,,,,,0.0,LOW_QUALITY;MISSING_LOCATION;,https://vnexpress.net/nam-con-bao-ap-thap-nhiet-doi-se-anh-huong-viet-nam-3142857.html,2025-12-06T13:30:55.385499
2025-09-06,"Bão, áp thấp nhiệt đới",Bão Nongfa,0.75,,0.0,Nhẹ,,,,,,,Áp thấp nhiệt đới mạnh lên thành bão trong hôm nay,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,"9 người chết, 77 người bị thương",,0.625,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-o-bien-dong-nguy-co-manh-thanh-bao-4935782.html,2025-12-06T13:30:57.252394
2025-11-25,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Nghiêm trọng,11-1/12,0.68,,,,,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 10,,"409 người chết, 727 người bị thương",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4986026.html,2025-12-06T13:30:58.907251
2011-04-01,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Không xác định,2011,0.5800000000000001,,,,,"Bão, áp thấp nhiệt đới năm nay nhiều hơn 2010",VnExpress,Thiên tai khí tượng – thủy văn,,,,,0.0,LOW_QUALITY;MISSING_LOCATION;,https://vnexpress.net/bao-ap-thap-nhiet-doi-nam-nay-nhieu-hon-2010-2191380.html,2025-12-06T13:31:00.858662
2025-08-16,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Nhẹ,,,,,,,Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,5 người bị thương,,0.5,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4927759.html,2025-12-06T13:31:03.364103
2025-09-18,"Bão, áp thấp nhiệt đới",Bão Mitag,0.95,,0.0,Nhẹ,,,,,,,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 4,,,,0.6,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4940688.html,2025-12-06T13:31:05.283206
